page_marker;row_no;material;alias;regime;property;value;unit;effect;source;raw_comment
PAGE 3;151;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11,5;%;decrease;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 3;152;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Отдел металлографии ОМГ-3;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 3;153;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Отдел металлографии ОМГ-3;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 3;154;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Центр механических испытаний ЦМИ-4;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 3;155;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 3;156;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Отдел металлографии ОМГ-3;"Для  материала  30ХГСА  при  режиме  закалка  зафиксировано  свойство  «твeрдocть»:  45  HRC;  эффект  указан  как  increase."
PAGE 3;157;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Группа коррозионных испытаний КОР-1;"For Al-Zn-Mg-Cu, aging produced yield strength = 505 MPa; the reported effect was increase."
PAGE 3;158;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Группа коррозионных испытаний КОР-1;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 3;159;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 3;160;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 3;161;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 3;162;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 3;163;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Центр механических испытаний ЦМИ-4;Для  материала  BT6  после  peжима  отжиг  показатель  «коррозионная  стойкость»  явно  не  измерялся  в  данной  серии.
PAGE 3;164;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 3;165;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 3;166;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11,5;%;decrease;Лаборатория термообработки ЛТ-2;"For Al-Zn-Mg-Cu, solution treatment produced elongation = 11.5 %; the reported effect was decrease."
PAGE 3;167;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Центр механических испытаний ЦМИ-4;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 3;168;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Отдел металлографии ОМГ-3;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 3;169;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Группа коррозионных испытаний КОР-1;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 3;170;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Лаборатория термообработки ЛТ-2;"Для  материала  30ХГСА  при  режиме  отпуск  зафиксировано  свойство  «пpочнoсть»:  1560  МРа;  эффект  указан  как  increase."
PAGE 3;171;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Центр механических испытаний ЦМИ-4;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 3;172;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Отдел металлографии ОМГ-3;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 3;173;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Лаборатория термообработки ЛТ-2;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 3;174;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 3;175;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Центр механических испытаний ЦМИ-4;"For Ti-6Al-4V, annealing produced ultimate tensile strength = 980 MPa; the reported effect was increase."
PAGE 3;176;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 3;177;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Отдел металлографии ОМГ-3;"Для  материала  BT6  при  режиме  старение  зафиксировано  свойство  «твeрдocть»:  348  HV;  эффект  указан  как  increase."
PAGE 3;178;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Лаборатория термообработки ЛТ-2;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 3;179;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Лаборатория термообработки ЛТ-2;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 3;180;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 4;;;;;;;;;;"logical page marker; following rows imitate printed table page"
PAGE 4;181;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Центр механических испытаний ЦМИ-4;"For  15-5PH,  aging  produced  hardness  =  42  HRC;  the  reported  effect  was  increase."
PAGE 4;182;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 4;183;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 4;184;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 4;185;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 4;186;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Отдел металлографии ОМГ-3;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 4;187;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Группа коррозионных испытаний КОР-1;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 4;188;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Лаборатория термообработки ЛТ-2;"Для  материала  7075-T6  при  режиме  старение  зафиксировано  свойство  «пpочнoсть»:  531  МРа;  эффект  указан  как  increase."
PAGE 4;189;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 4;190;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Отдел металлографии ОМГ-3;"For AISI 321, quenching produced hardness = 210 HV; the reported effect was increase."
PAGE 4;191;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Отдел металлографии ОМГ-3;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 4;192;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Лаборатория термообработки ЛТ-2;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 4;193;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 4;194;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Группа коррозионных испытаний КОР-1;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 4;195;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"Для  материала  В95  при  режиме  старение  зафиксировано  свойство  «предел  текучести»:  505  МРа;  эффект  указан  как  increase."
PAGE 4;196;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Лаборатория термообработки ЛТ-2;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 4;197;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 4;198;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 4;199;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Лаборатория термообработки ЛТ-2;"For Ti-6Al-4V, annealing produced ultimate tensile strength = 1120 MPa; the reported effect was increase."
PAGE 4;200;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 4;201;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Центр механических испытаний ЦМИ-4;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 4;202;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Лаборатория термообработки ЛТ-2;"Для  материала  7075-T6  при  режиме  старение  зафиксировано  свойство  «пpочнoсть»:  77  ksi;  эффект  указан  как  increase."
PAGE 4;203;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 4;204;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Лаборатория термообработки ЛТ-2;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 4;205;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 4;206;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Отдел металлографии ОМГ-3;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 4;207;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Группа коррозионных испытаний КОР-1;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 4;208;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Отдел металлографии ОМГ-3;"For 30KhGSA, tempering produced ultimate tensile strength = 1560 MPa; the reported effect was increase."
PAGE 4;209;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Отдел металлографии ОМГ-3;"Для  материала  30ХГСА  при  режиме  закалка  зафиксировано  свойство  «твeрдocть»:  45  HRC;  эффект  указан  как  increase."
PAGE 4;210;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 4;211;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Лаборатория термообработки ЛТ-2;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 4;212;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 4;213;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 4;214;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 4;215;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 4;216;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Группа коррозионных испытаний КОР-1;Для  материала  BT6  после  peжима  отжиг  показатель  «коррозионная  стойкость»  явно  не  измерялся  в  данной  серии.
PAGE 4;217;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Группа коррозионных испытаний КОР-1;"For Al-Zn-Mg-Cu, aging produced ultimate tensile strength = 77 ksi; the reported effect was increase."
PAGE 4;218;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 4;219;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 4;220;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Отдел металлографии ОМГ-3;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 4;221;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Отдел металлографии ОМГ-3;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 4;222;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Лаборатория термообработки ЛТ-2;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 4;223;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Группа коррозионных испытаний КОР-1;"Для  материала  30ХГСА  при  режиме  отпуск  зафиксировано  свойство  «пpочнoсть»:  1560  МРа;  эффект  указан  как  increase."
PAGE 4;224;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Центр механических испытаний ЦМИ-4;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 4;225;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Отдел металлографии ОМГ-3;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 4;226;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Лаборатория термообработки ЛТ-2;"For 15-5PH, aging produced hardness = 42 HRC; the reported effect was increase."
PAGE 4;227;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 4;228;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 4;229;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 4;230;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Лаборатория термообработки ЛТ-2;"Для  материала  BT6  при  режиме  старение  зафиксировано  свойство  «твeрдocть»:  348  HV;  эффект  указан  как  increase."
PAGE 4;231;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Группа коррозионных испытаний КОР-1;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 4;232;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Группа коррозионных испытаний КОР-1;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 4;233;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 4;234;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 4;235;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Отдел металлографии ОМГ-3;"For AISI 321, quenching produced hardness = 210 HV; the reported effect was increase."
PAGE 4;236;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Центр механических испытаний ЦМИ-4;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 4;237;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Группа коррозионных испытаний КОР-1;Для  материала  12X18H10T  после  peжима  растворный  отжиг  показатель  «коррозионная  стойкость»  явно  не  измерялся  в  данной  серии.
PAGE 4;238;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 4;239;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Отдел металлографии ОМГ-3;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 4;240;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 5;;;;;;;;;;"logical page marker; following rows imitate printed table page"
PAGE 5;241;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Отдел металлографии ОМГ-3;"For  Al-Zn-Mg-Cu,  aging  produced  ultimate  tensile  strength  =  531  МРа;  the  reported  effect  was  increase."
PAGE 5;242;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Лаборатория термообработки ЛТ-2;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 5;243;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Группа коррозионных испытаний КОР-1;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 5;244;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 240 HV; эффект указан как increase."
PAGE 5;245;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Отдел металлографии ОМГ-3;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 5;246;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 5;247;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Центр механических испытаний ЦМИ-4;"Для материала 30ХГСА при режиме закалка зафиксировано свойство «твердость»: 45 HRC; эффект указан как increase."
PAGE 5;248;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Группа коррозионных испытаний КОР-1;"Для  материала  В95  при  режиме  старение  зафиксировано  свойство  «предел  текучести»:  505  МРа;  эффект  указан  как  increase."
PAGE 5;249;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Отдел металлографии ОМГ-3;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 5;250;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Группа коррозионных испытаний КОР-1;"For 15-5PH, tempering produced fatigue limit = 640 MPa; the reported effect was increase."
PAGE 5;251;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Лаборатория термообработки ЛТ-2;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 5;252;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 5;253;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Центр механических испытаний ЦМИ-4;"Для материала ВТ6 при режиме старение зафиксировано свойство «твердость»: 348 HV; эффект указан как increase."
PAGE 5;254;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Группа коррозионных испытаний КОР-1;Для материала ВТ6 после режима отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 5;255;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Лаборатория термообработки ЛТ-2;"Для  материала  7075-T6  при  режиме  старение  зафиксировано  свойство  «пpочнoсть»:  77  ksi;  эффект  указан  как  increase."
PAGE 5;256;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Отдел металлографии ОМГ-3;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 5;257;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Группа коррозионных испытаний КОР-1;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
PAGE 5;258;12Х18Н10Т;AISI 321;закалка;твердость;210;HV;increase;Лаборатория термообработки ЛТ-2;"Для материала 12Х18Н10Т при режиме закалка зафиксировано свойство «твердость»: 210 HV; эффект указан как increase."
PAGE 5;259;12Х18Н10Т;AISI 321;закалка;твердость;240;HV;increase;Центр механических испытаний ЦМИ-4;"For AISI 321, quenching produced hardness = 240 HV; the reported effect was increase."
PAGE 5;260;12Х18Н10Т;AISI 321;растворный отжиг;коррозионная стойкость;;;not reported;Отдел металлографии ОМГ-3;Для материала 12Х18Н10Т после режима растворный отжиг показатель «коррозионная стойкость» явно не измерялся в данной серии.
PAGE 5;261;30ХГСА;30KhGSA;отпуск;прочность;1560;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 30ХГСА при режиме отпуск зафиксировано свойство «прочность»: 1560 MPa; эффект указан как increase."
PAGE 5;262;30ХГСА;30KhGSA;закалка;твердость;45;HRC;increase;Группа коррозионных испытаний КОР-1;"Для  материала  30ХГСА  при  режиме  закалка  зафиксировано  свойство  «твeрдocть»:  45  HRC;  эффект  указан  как  increase."
PAGE 5;263;В95;Al-Zn-Mg-Cu;старение;предел текучести;505;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала В95 при режиме старение зафиксировано свойство «предел текучести»: 505 MPa; эффект указан как increase."
PAGE 5;264;15-5PH;15-5PH;старение;твердость;42;HRC;increase;Группа коррозионных испытаний КОР-1;"Для материала 15-5PH при режиме старение зафиксировано свойство «твердость»: 42 HRC; эффект указан как increase."
PAGE 5;265;15-5PH;15-5PH;отпуск;усталостный предел;640;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала 15-5PH при режиме отпуск зафиксировано свойство «усталостный предел»: 640 MPa; эффект указан как increase."
PAGE 5;266;ВТ6;Ti-6Al-4V;отжиг;прочность;980;MPa;increase;Центр механических испытаний ЦМИ-4;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 980 MPa; эффект указан как increase."
PAGE 5;267;ВТ6;Ti-6Al-4V;отжиг;прочность;1120;MPa;increase;Отдел металлографии ОМГ-3;"Для материала ВТ6 при режиме отжиг зафиксировано свойство «прочность»: 1120 MPa; эффект указан как increase."
PAGE 5;268;ВТ6;Ti-6Al-4V;старение;твердость;348;HV;increase;Центр механических испытаний ЦМИ-4;"For Ti-6Al-4V, aging produced hardness = 348 HV; the reported effect was increase."
PAGE 5;269;ВТ6;Ti-6Al-4V;отжиг;коррозионная стойкость;;;not measured;Центр механических испытаний ЦМИ-4;Для  материала  BT6  после  peжима  отжиг  показатель  «коррозионная  стойкость»  явно  не  измерялся  в  данной  серии.
PAGE 5;270;7075-T6;Al-Zn-Mg-Cu;старение;прочность;77;ksi;increase;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 77 ksi; эффект указан как increase."
PAGE 5;271;7075-T6;Al-Zn-Mg-Cu;старение;прочность;531;MPa;increase;Группа коррозионных испытаний КОР-1;"Для материала 7075-T6 при режиме старение зафиксировано свойство «прочность»: 531 MPa; эффект указан как increase."
PAGE 5;272;7075-T6;Al-Zn-Mg-Cu;растворный отжиг;относительное удлинение;11.5;%;decrease;Центр механических испытаний ЦМИ-4;"Для материала 7075-T6 при режиме растворный отжиг зафиксировано свойство «относительное удлинение»: 11,5 %; эффект указан как decrease."
